DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P784S4A3;P784S4A4
7618875;1;1;1;819.85216179;1;912000
7618877;1;1;1;1221.0060564;1;1020000
7618908;1;1;1;879.15852556;1;180000
7618921;1;1;1;260.28857704;1;912000
7618921;2;1;2;260.28857704;1;680000
7619020;1;1;1;446.50410533;1;300000
7619028;1;1;1;272.03173665;1;300000
7619033;1;1;1;84.422743054;1;5600000
7619040;1;1;1;242.75457775;1;675000
7619097;1;1;1;240.27162726;1;210000
7619125;1;1;1;253.74093641;1;456000
7619128;1;1;1;276.70864738;1;456000
7619130;1;1;1;158.71943629;1;456000
7619154;1;1;1;221.02419795;1;230000
7619310;1;1;1;151.87152047;1;150000
7619332;1;1;1;94.222398245;1;210000
7619345;1;1;1;71.708280254;1;280000
7619352;1;1;1;201.64313672;1;300000
7619357;1;1;1;252.14705621;1;300000
7619361;1;1;1;189.94683642;1;300000
7619369;1;1;1;265.78467692;1;300000
7619390;1;1;1;214.23209222;1;150000
7619425;1;1;1;135.66348537;1;1200000
7619453;1;1;1;100.82722848;1;840000
7619464;1;1;1;181.82629947;1;120000
7619951;1;1;1;185.13754279;2;600000
7620131;1;1;1;133.74334069;2;720000
7620164;1;1;1;255.73109796;1;375000
7620168;1;1;1;109.47682593;1;150000
7620187;1;1;1;96.338270798;1;225000
7620203;1;1;1;99.097780534;1;225000
7620222;1;1;1;122.46152679;1;48000
7620281;1;1;1;126.77438563;1;152000
7620319;1;1;1;29.024301668;1;750000
7620351;1;1;1;247.53067018;1;500000
7620386;1;1;1;161.79472399;1;320000
7620469;1;1;1;47.200112608;1;98
7620495;1;1;1;118.72541794;1;1920000
7620586;1;1;1;281.97922921;1;960000
7620615;1;1;1;295.99204094;1;1200000
7620721;1;1;1;20.492403982;1;228000
7620728;1;1;1;69.111825398;1;228000
7620937;1;1;1;150.55247731;1;3040000
7620989;1;1;1;633.93678827;1;450000
7621011;1;1;1;555.17882957;1;225000
7621018;1;1;1;478.15031746;1;912000
7621073;1;1;1;273.13291514;1;420000
7621207;1;1;1;127.68176049;1;456000
7621280;1;1;1;39.125039174;1;150000
7621567;1;1;1;20.26056421;1;75000
7621929;1;1;1;26.022527991;1;152000
7621961;1;1;1;67.659304253;1;890000
7622026;1;1;1;8.9577831896;1;304000
7622031;1;1;1;22.137106014;1;380000
7622074;1;1;1;30.030071251;1;150000
7622077;1;1;1;67.87991848;1;200000
7622092;1;1;1;63.179697724;1;1060000
7622147;1;1;1;23.939301701;2;350000
7622166;1;1;1;15.389551093;2;650000
7622360;1;1;1;84.1195226;1;456000
7622368;1;1;1;332.56209049;1;36000
7622373;1;1;1;208.48861498;1;380000
7622375;1;1;1;180.25717063;1;142000
